latitude,longitude,measured_on,optical thickness,transmission percent
36.323437,-93.258022,17-06-2020,0.311930413,73.20324664
36.323437,-93.258022,17-06-2020,0.263056062,76.86988017
36.290455,-93.296115,17-06-2020,0.317106304,72.82533349
36.290455,-93.296115,17-06-2020,0.302467182,73.89927404
36.323437,-93.258022,16-06-2020,0.17334889,84.08442018
36.290455,-93.296115,15-06-2020,0.216971024,80.49532932
36.290455,-93.296115,15-06-2020,0.189708766,82.72000075
36.323437,-93.258022,14-06-2020,0.112733134,89.33890432
36.323437,-93.258022,14-06-2020,0.123628649,88.3707946
36.290455,-93.296115,14-06-2020,0.162762283,84.97931743
36.290455,-93.296115,14-06-2020,0.168158793,84.52196089
45.81672,-118.49085,14-06-2020,0.061373445,94.047196
36.323437,-93.258022,14-06-2020,0.151221925,85.96568984
36.290455,-93.296115,13-06-2020,0.073501531,92.91347233
36.323437,-93.258022,13-06-2020,0.086688373,91.69628013
36.323437,-93.258022,12-06-2020,0.121155144,88.58965071
36.323437,-93.258022,12-06-2020,0.12398128,88.33963782
36.290455,-93.296115,12-06-2020,0.117222056,88.93876774
36.290455,-93.296115,12-06-2020,0.116173071,89.03211209
36.323437,-93.258022,11-06-2020,0.049052551,95.2131093
36.323437,-93.258022,11-06-2020,0.054137371,94.73019659
36.290455,-93.296115,11-06-2020,0.050099775,95.11345202
36.290455,-93.296115,11-06-2020,0.053547081,94.78613141
36.323437,-93.258022,10-06-2020,0.054724142,94.67462794
36.323437,-93.258022,10-06-2020,0.041788813,95.90723027
38.393661,-82.396001,09-06-2020,0.466126891,62.74276641
36.290455,-93.296115,09-06-2020,0.194382369,82.33430236
36.290455,-93.296115,09-06-2020,0.198271727,82.01469671
36.323437,-93.258022,09-06-2020,0.160036599,85.21126017
36.323437,-93.258022,09-06-2020,0.175444785,83.90837257
36.323437,-93.258022,07-06-2020,0.114785762,89.15571287
36.323437,-93.258022,07-06-2020,0.120471772,88.65021112
36.290455,-93.296115,07-06-2020,0.125544404,88.20165988
36.290455,-93.296115,07-06-2020,0.117552158,88.90941371
36.323437,-93.258022,06-06-2020,0.09875685,90.59629665
36.323437,-93.258022,06-06-2020,0.089005144,91.48408677
36.290455,-93.296115,06-06-2020,0.090618796,91.33658232
36.290455,-93.296115,06-06-2020,0.085246798,91.82856252
36.290455,-93.296115,05-06-2020,0.166859481,84.63185268
