latitude,longitude,measured_on,depth level (cm),maximum temp (deg C),minimum temp (deg C),average temp (deg C)
31.4778,-110.2814,01-03-2004,10,23.5,3.5,14.3
31.4778,-110.2814,01-04-2004,10,26.3,2.7,16.5
31.4778,-110.2814,01-05-2004,10,41.8,15.6,27.9
31.4778,-110.2814,01-06-2004,10,44.3,18.9,29.7
31.4778,-110.2814,01-08-2004,10,43.2,21.3,30.5
31.4778,-110.2814,01-10-2004,10,43.9,28.8,37.5
31.4778,-110.2814,01-11-2004,10,36.5,19.5,29.4
31.4778,-110.2814,01-05-2005,10,31.8,13.2,23.5
40.5869,-105.1469,01-09-2003,10,26.6,11.2,18.9
40.5869,-105.1469,01-10-2003,10,22.4,5.9,15.6
40.5869,-105.1469,01-11-2003,10,9.8,-1.4,5
40.5869,-105.1469,01-12-2003,10,6.2,-0.8,1.5
40.5869,-105.1469,01-01-2004,10,4.9,-1.2,1.3
40.5869,-105.1469,01-02-2004,10,9.1,-3.1,1.8
40.5869,-105.1469,01-03-2004,10,18.2,2.1,9.1
40.5869,-105.1469,01-04-2004,10,20.4,4,12.6
40.5869,-105.1469,01-05-2004,10,25.6,6.1,17.1
40.5869,-105.1469,01-06-2004,10,28.4,12.9,20.1
40.5869,-105.1469,01-07-2004,10,30.6,16.1,22.5
40.5869,-105.1469,01-08-2004,10,28.1,13.6,21.3
40.5869,-105.1469,01-09-2004,10,24.1,9.9,17.6
40.5869,-105.1469,01-10-2004,10,16.1,7.5,11.8
40.5869,-105.1469,01-05-2005,10,26.7,4.4,16.7
40.5869,-105.1469,01-06-2005,10,28.1,12.8,20.9
40.5869,-105.1469,01-07-2005,10,34.6,20.6,27.3
40.5869,-105.1469,01-08-2005,10,31.6,17.8,24.7
40.5869,-105.1469,01-09-2005,10,30.2,13.8,22.4
40.5869,-105.1469,01-10-2005,10,25.6,8.3,15
42.8261,-85.6246,01-09-2006,10,26.8,11.7,19.2
40.83112,-73.8865,01-12-2005,10,14.5,0.1,3.9
40.83112,-73.8865,01-01-2006,10,10.2,-0.1,5.1
48.6282,-112.3437,01-02-2004,5,9.7,-14.7,-1.1
48.6282,-112.3437,01-02-2004,10,8,-12.5,-1.7
48.6282,-112.3437,01-02-2004,50,3.2,-4.9,-0.7
48.6282,-112.3437,01-03-2004,5,14.3,-2.9,5.4
48.6282,-112.3437,01-03-2004,10,16.2,-3.7,4.8
48.6282,-112.3437,01-03-2004,50,9.9,1.6,4.5
48.6282,-112.3437,01-04-2004,5,20.7,2.7,11
48.6282,-112.3437,01-04-2004,10,18.5,0.8,9.2
48.6282,-112.3437,01-04-2004,50,11.7,7,9.5
48.6282,-112.3437,01-10-2004,5,21,-1.6,7.5
48.6282,-112.3437,01-10-2004,10,19.8,1.2,7.3
48.6282,-112.3437,01-10-2004,50,14.4,5.4,10.1
30.61637,-88.29001,01-08-2014,10,37.5,25.4,30.8
30.61637,-88.29001,01-10-2014,10,31.6,14.8,22.9
32.9545,-97.01,01-11-2015,10,32.2,2.7,15.7
32.9545,-97.01,01-01-2016,10,14.8,4,8
32.1133,-110.79,01-05-2003,10,40.8,20.8,31
44.3823,-68.9784,01-01-2005,10,0.1,-1.2,-0.4
44.3823,-68.9784,01-03-2009,10,0.5,-0.4,0
44.3823,-68.9784,01-05-2009,10,18.6,10.5,13.4
41.6065,-93.6956,01-12-2004,5,16.7,-1.1,1.7
41.6065,-93.6956,01-12-2004,10,5.6,0,2.9
41.6065,-93.6956,01-12-2004,50,7.2,0.6,4.5
41.6065,-93.6956,01-01-2005,5,0,0,0
41.6065,-93.6956,01-01-2005,10,1.1,0.6,0.8
41.6065,-93.6956,01-01-2005,50,2.2,1.7,2.1
41.6065,-93.6956,01-02-2005,5,4.4,0,1.1
41.6065,-93.6956,01-02-2005,10,3.3,0,1.6
41.6065,-93.6956,01-02-2005,50,3.3,1.1,2.2
41.6065,-93.6956,01-03-2005,5,16.1,0,4
41.6065,-93.6956,01-03-2005,10,8.9,0,3.9
41.6065,-93.6956,01-03-2005,50,7.8,0,4
41.6065,-93.6956,01-04-2005,5,18.3,6.1,12.6
41.6065,-93.6956,01-04-2005,10,15.6,7.8,11.8
41.6065,-93.6956,01-04-2005,50,15,7.8,11.4
41.6065,-93.6956,01-05-2005,5,21.1,7.8,15.5
41.6065,-93.6956,01-05-2005,10,18.3,9.4,14.4
41.6065,-93.6956,01-05-2005,50,16.7,10.6,14.1
41.6065,-93.6956,01-06-2005,5,32.8,17.2,23.6
41.6065,-93.6956,01-06-2005,10,27.2,16.7,21.9
41.6065,-93.6956,01-06-2005,50,25,16.1,21.1
41.6065,-93.6956,01-07-2005,5,33.3,20,26.8
41.6065,-93.6956,01-07-2005,10,28.9,23.3,25.8
41.6065,-93.6956,01-07-2005,50,28.3,22.8,25.3
41.6065,-93.6956,01-08-2005,5,31.1,0,24.5
41.6065,-93.6956,01-08-2005,10,26.7,0,23.9
41.6065,-93.6956,01-08-2005,50,26.7,0,23.8
41.6065,-93.6956,01-10-2005,5,17.2,6.1,11.8
41.6065,-93.6956,01-10-2005,10,20,9.4,13.6
41.6065,-93.6956,01-10-2005,50,20,10,13.7
41.6065,-93.6956,01-11-2005,5,13.3,1.7,6.8
41.6065,-93.6956,01-11-2005,10,12.2,4.4,8.7
41.6065,-93.6956,01-11-2005,50,12.2,5,8.7
41.6065,-93.6956,01-12-2005,5,2.2,-0.6,1.1
41.6065,-93.6956,01-12-2005,10,5.6,1.1,3
41.6065,-93.6956,01-12-2005,50,5.6,1.7,3.1
41.6065,-93.6956,01-01-2006,5,5,0,1.4
41.6065,-93.6956,01-01-2006,10,4.4,1.7,2.5
41.6065,-93.6956,01-01-2006,50,3.9,1.7,2.5
41.6065,-93.6956,01-02-2006,5,6.7,-1.7,0.6
41.6065,-93.6956,01-02-2006,10,5,0.6,1.8
41.6065,-93.6956,01-02-2006,50,5,0.6,1.9
41.6065,-93.6956,01-03-2006,5,12.2,0,3.9
41.6065,-93.6956,01-03-2006,10,9.4,0.6,3.8
41.6065,-93.6956,01-03-2006,50,7.8,1.1,3.9
41.6065,-93.6956,01-04-2006,5,22.2,5,12.7
41.6065,-93.6956,01-04-2006,10,15,7.2,11.3
41.6065,-93.6956,01-04-2006,50,14.4,6.7,11
41.6065,-93.6956,01-05-2006,5,26.7,10.6,17.6
41.6065,-93.6956,01-05-2006,10,21.7,12.2,16
41.6065,-93.6956,01-05-2006,50,20.6,11.7,15.8
41.6065,-93.6956,01-06-2006,5,28.9,16.7,22.9
41.6065,-93.6956,01-06-2006,10,23.3,18.3,21.4
41.6065,-93.6956,01-06-2006,50,22.8,18.3,21
41.6065,-93.6956,01-07-2006,5,30,0,24.4
41.6065,-93.6956,01-07-2006,10,26.1,0,23.3
41.6065,-93.6956,01-07-2006,50,26.1,0,23.1
41.6065,-93.6956,01-08-2006,5,30,0,23
41.6065,-93.6956,01-08-2006,10,26.7,0,23.1
41.6065,-93.6956,01-08-2006,50,26.1,0,22.8
41.6065,-93.6956,01-09-2006,5,22.8,12.2,17.9
41.6065,-93.6956,01-09-2006,10,21.7,15.6,18.7
41.6065,-93.6956,01-09-2006,50,21.7,16.1,18.8
41.6065,-93.6956,01-10-2006,5,21.1,5,11.5
41.6065,-93.6956,01-10-2006,10,18.9,8.9,13.1
41.6065,-93.6956,01-10-2006,50,18.9,8.9,13.3
41.6065,-93.6956,01-11-2006,5,20,0.6,6.5
41.6065,-93.6956,01-11-2006,10,10.6,5.6,7.7
41.6065,-93.6956,01-11-2006,50,10.6,5.6,7.6
41.6065,-93.6956,01-12-2006,5,20.6,-1.7,1.7
41.6065,-93.6956,01-12-2006,10,20,1.7,3.3
41.6065,-93.6956,01-12-2006,50,20,1.7,3.2
41.6065,-93.6956,01-01-2007,5,8.9,-0.6,1
41.6065,-93.6956,01-01-2007,10,6.1,-0.6,2.4
41.6065,-93.6956,01-01-2007,50,5.6,1.1,2.2
41.6065,-93.6956,01-02-2007,5,0,-1.1,-0.6
41.6065,-93.6956,01-02-2007,10,1.1,0.6,0.7
41.6065,-93.6956,01-02-2007,50,1.1,0,0.2
41.6065,-93.6956,01-03-2007,5,16.7,0,5.2
41.6065,-93.6956,01-03-2007,10,13.9,1.1,4.7
41.6065,-93.6956,01-03-2007,50,11.7,0.6,4.3
41.6065,-93.6956,01-04-2007,5,17.8,2.8,10
41.6065,-93.6956,01-04-2007,10,14.4,5.6,9.9
41.6065,-93.6956,01-04-2007,50,13.9,5,9.6
41.6065,-93.6956,01-05-2007,5,22.2,12.8,18
41.6065,-93.6956,01-05-2007,10,21.1,13.9,17.2
41.6065,-93.6956,01-05-2007,50,18.9,13.9,16.5
41.6065,-93.6956,01-06-2007,5,30,10,23
41.6065,-93.6956,01-06-2007,10,31.1,0,21.2
41.6065,-93.6956,01-06-2007,50,23.3,0,19.7
41.6065,-93.6956,01-07-2007,5,32.8,19.4,26.5
41.6065,-93.6956,01-07-2007,10,26.1,21.1,24
41.6065,-93.6956,01-07-2007,50,24.4,21.1,22.8
41.6065,-93.6956,01-08-2007,5,33.9,18.9,26.3
41.6065,-93.6956,01-08-2007,10,27.2,21.7,24.6
41.6065,-93.6956,01-08-2007,50,25.6,22.2,24.2
41.6065,-93.6956,01-09-2007,5,27.8,12.2,20.5
41.6065,-93.6956,01-09-2007,10,23.9,16.7,20
41.6065,-93.6956,01-09-2007,50,23.3,17.8,20.3
41.6065,-93.6956,01-10-2007,5,23.9,6.1,14.8
41.6065,-93.6956,01-10-2007,10,20.6,10,15.1
41.6065,-93.6956,01-10-2007,50,20,11.1,15.6
