gbifID,scientificName,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
1978856367,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.170649,-78.270457,22,5,2018,186.3,23.7,18.1,0.149844767,86.08415972
1978855914,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.394199,-78.638686,30,9,2018,130,24.5,21.8,0.19972228,81.89581628
1978855472,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.039848,-82.394454,17,12,2018,30.7,21.9,6.1,0.108025117,89.76050513
1978853538,"Sceloporus undulatus (Bosc & Daudin, 1801)",32.153144,-86.00829,25,10,2018,91.3,15.5,17.2,0.045499506,95.55200749
1978850296,"Sceloporus undulatus (Bosc & Daudin, 1801)",40.356723,-78.142721,18,9,2018,175.7,21.9,21.8,0.295833858,74.39110123
1978825471,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.148114,-84.707166,29,10,2018,91.3,15.5,17.2,0.045499506,95.55200749
1978470423,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.495859,-82.604286,24,6,2016,134.4,23.1,19.7,0.253424582,77.61382776
1978467190,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.451634,-88.65327,7,2,2013,223.5,6,11.9,0.1275,88.02934158
1950035646,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.775327,-82.204479,7,6,2014,32.5,26.5,19.7,0.313411898,73.09487745
1949982935,"Sceloporus undulatus (Bosc & Daudin, 1801)",37.90772,-79.615267,10,6,2018,142.8,23.6,20.3,0.0492,95.19907125
1948783834,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.976262,-84.579458,21,4,2018,69,16,10.4,0.1313,87.69546485
1948783813,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.976088,-84.579893,21,4,2018,69,16,10.4,0.1313,87.69546485
1948769490,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.77666,-83.374893,10,5,2018,88.2,24.2,18.1,0.149844767,86.08415972
1948767762,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.32409,-86.755808,22,4,2017,135.2,18.4,18.3,0.302773902,73.87661111
1948764019,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.784913,-76.700745,30,5,2018,142.4,23.5,18.1,9.9999,0.004540447
1946352376,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.836698,-85.482736,29,9,2018,88.3,22.6,21.8,0.138860684,87.03492735
1946352354,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.838616,-85.481497,29,9,2018,88.3,22.6,21.8,0.138860684,87.03492735
1946352336,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.838616,-85.481497,29,9,2018,88.3,22.6,21.8,0.138860684,87.03492735
1946349482,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.857656,-82.139467,28,10,2018,91.3,15.5,16.3,0.045499506,95.55200749
1946347089,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.391904,-88.791075,13,4,2018,19.6,15.9,10.4,0.1313,87.69546485
1946339323,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.278608,-81.50751,30,10,2018,0,27.8,16.3,0.045499506,95.55200749
1946337020,"Sceloporus undulatus (Bosc & Daudin, 1801)",38.665146,-77.207745,25,11,2018,189.2,8.7,9.4,0.044273645,95.66921276
1946335510,"Sceloporus undulatus (Bosc & Daudin, 1801)",31.522837,-82.77092,6,11,2018,121.1,10.4,9.4,0.048407444,95.27455178
1946333870,"Sceloporus undulatus (Bosc & Daudin, 1801)",40.095354,-74.321528,25,11,2018,167.2,7.1,9.4,0.163844562,84.88739589
1946175598,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.771462,-108.679032,27,4,2013,10.3,7,17.3,1.3888,24.93743744
1946175590,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.716367,-106.62699,27,5,2013,119542,15,21.7,0.0826,92.07193613
1945471642,"Sceloporus undulatus (Bosc & Daudin, 1801)",35.882486,-87.776629,17,11,2018,12.3,1.6,8.4,0.051614902,94.96945218
1945454043,"Sceloporus undulatus (Bosc & Daudin, 1801)",36.967498,-79.866181,19,11,2018,14.4,7.2,9.4,0.048407444,95.27455178
1945453597,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.451839,-88.65487,19,11,2018,65.1,11,9.6,0.0277,97.26801271
1945453585,"Sceloporus undulatus (Bosc & Daudin, 1801)",30.451851,-88.654943,19,11,2018,65.1,11,9.6,0.0277,97.26801271
1945445759,"Sceloporus undulatus (Bosc & Daudin, 1801)",31.884806,-86.030055,18,11,2018,14.4,7.2,8.4,0.048407444,95.27455178
1945419661,"Sceloporus undulatus (Bosc & Daudin, 1801)",33.375306,-84.194442,22,8,2018,159.3,23.9,23.3,0.134360547,87.4274791
1944412566,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.622213,-82.30771,7,11,2018,1.3,24.8,9.4,0.048407444,95.27455178
1944411060,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.559003,-82.196456,11,11,2018,1.3,24.8,9.4,0.048407444,95.27455178
1944404974,"Sceloporus undulatus (Bosc & Daudin, 1801)",34.490186,-85.615182,10,10,2018,7.5,15.5,17.2,0.052907854,94.84674063
1944403532,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.591908,-82.251376,20,10,2018,0,27.8,16.3,0.045499506,95.55200749
1944403226,"Sceloporus undulatus (Bosc & Daudin, 1801)",29.556647,-82.329614,7,11,2018,1.3,24.8,9.4,0.048407444,95.27455178
