gbifID,species,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2456561116,Lepus americanus,38.48322,-119.73618,28,12,2014,262.5,7.6,0,-0.0097,101
2456559036,Lepus californicus,38.3546,-119.6478,26,9,2013,33,19.3,21,0.1954,82.250559
2456557568,Lepus americanus,38.50359,-119.77516,5,1,2013,16.3,5.5,7.6,1.2811,27.77316276
2456553300,Lepus californicus,37.427475,-122.169719,10,11,2019,43.2,13.4,2.7,0.149787033,86.08912982
2456552735,Lepus americanus,47.381716,-91.196136,10,11,2019,6.1,-4.3,7.6,0.213278799,80.79308553
2456552583,Lepus americanus,61.003928,-149.64685,10,11,2019,24.2,7.4,2.7,0.149787033,86.08912982
2456552537,Lepus californicus,33.302491,-116.388525,23,4,2015,12,12.6,11.8,-0.5031,101
2456551816,Lepus americanus,43.677125,-72.640428,10,11,2019,88.7,1.4,9.6,0.062508043,93.9405507
2456550702,Lepus californicus,33.189847,-116.314168,10,11,2019,43.2,18,2.7,0.145990221,86.41661537
2456549256,Lepus townsendii,38.35278,-119.64008,29,9,2014,15.5,17.4,14.8,0.0726,92.99727447
2456545791,Lepus americanus,46.835137,-89.549878,10,11,2019,6.1,-4.3,7.6,0.213278799,80.79308553
2456544723,Lepus americanus,47.384893,-91.244643,9,11,2019,6.1,-4.3,7.6,0.213278799,80.79308553
2456542503,Lepus californicus,37.544818,-122.251611,28,4,2010,59.5,9.1,12.6,0.1594,85.26552287
2456538379,Lepus californicus,32.930818,-102.536532,28,9,2019,25.3,26.8,27.1,0.3176,72.78938877
2456531508,Lepus californicus,34.011669,-116.168275,27,10,2019,0,22,21,0.138774188,87.04245586
2456529193,Lepus townsendii,38.35453,-119.64772,10,10,2013,51.9,13.6,14.9,0.0754,92.73724631
2456528437,Lepus californicus,32.692942,-110.756623,5,11,2019,43.2,14.8,9.4,0.550813779,57.6480492
2456526909,Lepus townsendii,38.40741,-119.6808,1,7,2014,12.1,21.8,25.4,0.1545,85.68434921
2456525782,Lepus townsendii,38.334021,-119.650852,8,11,2013,21.5,8.8,13.2,-0.3265,101
2456525723,Lepus townsendii,38.57098,-119.83639,5,9,2017,3.5,23.8,15.7,0.3847,68.0654802
2456517196,Lepus californicus,26.166794,-97.716939,5,11,2019,49.2,15.6,9.4,-0.1376,101
2451751703,Lepus townsendii,38.47287,-119.76129,16,11,2014,13.1,8.4,9.3,0.1895,82.73727169
2451744954,Lepus californicus,37.694327,-121.677317,13,7,2019,0,23.5,27.5,0.119081431,88.77355089
2451731734,Lepus townsendii,38.345484,-119.666281,17,7,2014,12.1,21.8,25.4,0.1545,85.68434921
2451731061,Lepus townsendii,38.382776,-119.66471,16,10,2012,40.5,13.5,17.8,0.1979,82.04518942
2451731040,Lepus townsendii,38.540459,-119.813994,10,4,2017,100.8,9.9,8.3,0.056532843,94.50354463
2451730372,Lepus townsendii,38.335189,-119.928218,8,11,2014,13.1,8.4,9.3,0.1895,82.73727169
2451730255,Lepus townsendii,38.499462,-119.796099,14,9,2016,117.8,17.2,13.8,0.935,39.25858655
2451729735,Lepus townsendii,38.476109,-119.766678,7,4,2015,12,12.6,11.8,-0.5031,101
2451713755,Lepus americanus,63.87935,-149.1812,2,8,2004,62.1,15.2,21.3,0.0577,94.39330849
2451709396,Lepus californicus,37.5364,-122.233437,3,11,2019,43.2,13.4,2.7,0.149787033,86.08912982
2451701185,Lepus californicus,33.185714,-116.328567,2,11,2019,43.2,18,2.7,0.145990221,86.41661537
2451700369,Lepus californicus,37.403926,-121.953143,1,11,2019,43.2,13.4,2.7,0.149787033,86.08912982
2451700039,Lepus townsendii,45.462932,-99.379635,2,11,2019,6.1,-2.2,2.7,0.550813779,57.6480492
2451689153,Lepus americanus,46.835358,-89.549275,1,11,2019,6.1,-4.3,7.6,0.213278799,80.79308553
2451685264,Lepus californicus,34.014743,-116.184587,1,11,2019,43.2,18,2.7,0.145990221,86.41661537
2451683713,Lepus californicus,38.526749,-121.793373,31,10,2019,0,17,21,0.04889265,95.22833516
2451683186,Lepus californicus,38.52765,-121.805164,31,10,2019,0,17,21,0.04889265,95.22833516
2451682952,Lepus californicus,38.526749,-121.793373,31,10,2019,0,17,21,0.04889265,95.22833516
2451680820,Lepus americanus,46.172981,-117.519009,30,10,2019,79.1,9.8,21,0.062967076,93.89743882
2451587027,Lepus townsendii,46.373038,-119.561585,10,5,2019,16.5,15.4,10.6,0.120591814,88.63956999
2451586524,Lepus townsendii,43.785548,-97.042564,17,4,2004,33.7,10.1,10.7,0.093,91.11935003
2447998139,Lepus californicus,35.140879,-115.545918,2,9,2019,5.2,24.4,27.1,2.790197412,6.140908985
2447992709,Lepus californicus,33.258117,-116.40567,11,6,2016,134.4,17.1,17.3,0.253424582,77.61382776
2447992599,Lepus californicus,33.58022,-101.891538,17,10,2019,4.8,17.6,17.1,0.809786332,44.49531284
2447981870,Lepus californicus,35.26574,-119.29919,4,10,2019,0,22,21,0.138774188,87.04245586
2447979181,Lepus californicus,38.683993,-120.697883,8,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2447978452,Lepus californicus,38.213545,-119.01315,13,10,2019,0,17,21,0.04889265,95.22833516
2447978207,Lepus californicus,38.641752,-120.614279,8,7,2019,0,23.5,27.5,0.119081431,88.77355089
2447976632,Lepus californicus,38.722335,-120.616937,8,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2447972432,Lepus americanus,63.114803,-151.192595,1,9,2019,33.3,15.7,24.3,0.160055485,85.20965091
