"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HN01","HTDD","HX01","LN01","LX01","MN01","MNPN","MX01","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDMV","WSF1","WSF2","WSF5","WSFG"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2011","3.4","1468.4","1468.4","        93","        61","        0","         0","         0","        21","         0","       270","        90","-7.2","0","0.0","75.7","38.9",,"-0.6",,,,,"0.0","-3.3","-5.0","-7.2",,"1181.2","30.6","1181.2","33.9","5.6","8.3","20.2",,"22.7",,"940.6",,"0.0","19.6","25.6","13.6",,,"       220","       230",,,,"20.1","26.4",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2012","3.2","1337.4","1337.4","       107","        68","        0","         0","         0","        16","         0","       275","        60","-6.7","0","0.0","58.9","36.7",,"0.0","-3.3",,,,"-4.4","-4.4","-4.4","-6.7",,"800.8","29.4","800.8","32.2","10.0","11.7","20.3",,"22.6",,"1117.4",,"0.0","19.6","25.4","13.8",,,"       150","       130",,,,"17.0","22.8",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2013","3.3","1337.7","1337.7","       109","        66","        0","         0","         0","        19","         0","       258","        48","-2.8","0","0.0","76.2","36.1",,"-1.6",,,,,"-0.6","-2.8",,,,"1048.5","28.9","1048.5","31.1","7.8","11.7","19.5",,"21.8",,"1476.5",,"0.0","19.2","24.7","13.7",,,"       200","       200",,,,"17.9","21.9",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2014","3.2","1506.6","1506.6","       108","        84","        0","         0","         0","        24","         1","       257","        84","-8.2","0","0.0","102.1","37.2",,"0.0","-4.9","-4.9",,,"0.0","-2.7","-8.2","-8.2",,"1056.6",,"1056.6",,,,,,,,"1346.7",,"0.0","19.4","25.0","13.7",,,"        20","       300",,,,"14.8","21.5",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2015","3.3","1469.2","1469.2","       118","        88","        0","         0","         0","        24","         0","       275","        71","-7.7","0","0.0","292.1","37.2",,"-0.5",,,,,"-1.0","-7.7","-7.7","-7.7",,"1107.0",,"1107.0",,,,,,,,"1902.1",,"0.0","19.9","25.2","14.6",,,"       280","       290",,,,"17.9","27.7",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2016","3.5","1613.4","1613.4","       101","        64","        0","         0","         0","        20","         0","       272","        98","-4.9","0","0.0","146.6","37.8",,"-0.5",,,,,"0.0","-3.2","-4.9",,,"771.8",,"771.8",,,,,,,,"1515.5",,"0.0","20.2","25.9","14.6",,,"       330","       320",,,,"23.3","30.9",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2017","3.5","1457.8","1457.8","       101","        72","        0","         0","         0","        13","         0","       280","        62","-5.5","0","0.0","140.0","36.7",,"-1.0","-2.7",,,,"-2.1","-4.3","-5.5",,,"702.3",,"702.3",,,,,,,,"1343.6",,"0.0","20.1","25.7","14.5",,,"        70","        80",,,,"19.2","26.8",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2018","3.5","1589.9","1589.9","       131","        81","        5","         1","         0","        20","         1","       258","        89","-9.9","130","135.0","124.0","36.1",,"-1.0",,,,,"-1.6","-3.8","-7.1","-7.1","-9.9","1035.8","28.3","1035.8","34.4","4.4","6.1","19.0",,"22.7",,"1465.9",,"135.0","19.9","25.3","14.6",,,"       190","       290",,,,"17.9","23.7",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2019","3.4","1515.1","1515.1","       102","        65","        0","         0","         0","        15","         0","       273","        82","-2.7","0","0.0","77.7","38.3",,"-1.6",,,,,"-0.5","-2.7",,,,"888.5","28.3","888.5","34.4","6.7","10.0","19.4",,"23.2",,"1256.5",,"0.0","20.0","25.6","14.4",,,"       350","       340",,,,"23.3","30.9",
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","32.89943","-80.04075","12.2","2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"850.7",,"850.7",,,,,,,,,,,,,,,,,,,,,,,
