gbifID,scientificName,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
1913695412,"Ursus arctos Linnaeus, 1758",48.783841,-113.420202,24,6,2018,51.5,17.2,17,0.045730981,95.52989211
1913680171,"Ursus arctos horribilis Ord, 1815",44.530077,-110.202914,10,9,2018,22.6,19.6,21.8,0.070307175,93.21074562
1913680144,"Ursus arctos horribilis Ord, 1815",44.448727,-110.309734,13,9,2018,22.6,19.6,21.8,0.070307175,93.21074562
1913176934,"Ursus arctos Linnaeus, 1758",63.625958,-149.32265,3,9,2018,0,16.9,23.5,0.070307175,93.21074562
1913160532,"Ursus arctos Linnaeus, 1758",63.479147,-150.14443,3,9,2018,0,16.9,23.5,0.070307175,93.21074562
1913159963,"Ursus arctos Linnaeus, 1758",59.365051,-158.837654,22,8,2018,0,21.5,20,0.12985706,87.82209549
1913148770,"Ursus arctos Linnaeus, 1758",57.018976,-135.636861,19,8,2018,0,21.5,20,0.44256807,64.23846126
1913145863,"Ursus arctos Linnaeus, 1758",57.058034,-135.304369,30,9,2013,32890.1,17.1,21,0.1954,82.250559
1913142840,"Ursus arctos middendorffi Merriam, 1896",59.54,-154.41,24,9,2013,32890.1,8.8,21,0.1954,82.250559
1913142494,"Ursus arctos Linnaeus, 1758",57.153305,-135.578756,30,4,2010,59.5,9.5,12.6,0.1594,85.26552287
1913142493,"Ursus arctos Linnaeus, 1758",57.150489,-135.5688,30,4,2010,59.5,9.5,12.6,0.1594,85.26552287
1901082901,"Ursus arctos Linnaeus, 1758",63.556137,-149.7522,3,9,2018,0,16.9,23.5,0.070307175,93.21074562
1901074753,"Ursus arctos Linnaeus, 1758",63.47667,-150.151228,3,9,2018,0,16.9,23.5,0.070307175,93.21074562
1901074622,"Ursus arctos Linnaeus, 1758",63.478175,-150.144489,3,9,2018,0,16.9,23.5,0.070307175,93.21074562
1901063513,"Ursus arctos horribilis Ord, 1815",48.582624,-113.744752,2,9,2018,22.6,16.9,21.8,0.070307175,93.21074562
1901053389,"Ursus arctos Linnaeus, 1758",44.552044,-110.504202,13,7,2004,154.8,22.6,22.5,0.1116,89.44019467
1901040758,"Ursus arctos Linnaeus, 1758",59.072879,-135.209316,5,8,2018,0,21.5,20,0.44256807,64.23846126
1899805649,"Ursus arctos horribilis Ord, 1815",48.518251,-113.787029,22,7,2018,33.9,21.5,22.8,0.22358882,79.96438645
1899790745,"Ursus arctos Linnaeus, 1758",48.487924,-113.643988,25,7,2018,33.9,21.5,22.8,0.22358882,79.96438645
1899763332,"Ursus arctos horribilis Ord, 1815",44.891368,-110.607581,28,7,2018,33.9,23.5,22.8,0.22358882,79.96438645
1898814437,"Ursus arctos Linnaeus, 1758",63.717571,-149.096008,19,8,2018,0,21.5,20,0.44256807,64.23846126
1891350954,"Ursus arctos Linnaeus, 1758",58.554757,-155.791878,13,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1891350915,"Ursus arctos Linnaeus, 1758",58.554777,-155.791917,11,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1891322112,"Ursus arctos Linnaeus, 1758",48.928256,-113.649673,6,7,2018,33.9,21.5,22.8,0.22358882,79.96438645
1891312967,"Ursus arctos Linnaeus, 1758",59.268063,-158.574554,6,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1891309370,"Ursus arctos horribilis Ord, 1815",44.584396,-110.577872,7,8,2018,12.7,20.7,20,0.44256807,64.23846126
1891295054,"Ursus arctos Linnaeus, 1758",47.589654,-112.950994,29,7,2018,33.9,23.5,22.8,0.22358882,79.96438645
1890719799,"Ursus arctos horribilis Ord, 1815",44.754306,-110.434719,7,8,2018,12.7,20.7,20,0.44256807,64.23846126
1890708428,"Ursus arctos Linnaeus, 1758",60.35657,-152.856257,31,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1890687065,"Ursus arctos Linnaeus, 1758",58.099373,-136.278152,4,8,2018,0,21.5,20,0.44256807,64.23846126
1890685855,"Ursus arctos Linnaeus, 1758",58.851067,-136.492374,24,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1890092029,"Ursus arctos Linnaeus, 1758",63.574991,-149.63138,21,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1890037975,"Ursus arctos Linnaeus, 1758",58.556203,-155.77803,6,6,2018,0.5,17.2,17,0.266521143,76.6039807
1883554151,"Ursus arctos horribilis Ord, 1815",59.358464,-135.593627,16,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1883554144,"Ursus arctos horribilis Ord, 1815",59.343152,-135.564293,15,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1883554104,"Ursus arctos horribilis Ord, 1815",59.263599,-135.441493,15,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1883552523,"Ursus arctos Linnaeus, 1758",58.555241,-155.777255,6,6,2018,0.5,17.2,17,0.266521143,76.6039807
1883545124,"Ursus arctos Linnaeus, 1758",58.553789,-155.791803,4,6,2018,0.5,17.2,17,0.266521143,76.6039807
1883535782,"Ursus arctos middendorffi Merriam, 1896",57.798889,-152.6,14,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1883535771,"Ursus arctos middendorffi Merriam, 1896",57.716047,-152.561763,11,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1883501765,"Ursus arctos Linnaeus, 1758",57.05135,-135.310053,10,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1883495729,"Ursus arctos horribilis Ord, 1815",44.659007,-110.406349,23,5,2017,78.2,14,14.3,0.065603638,93.65019846
1880666041,"Ursus arctos Linnaeus, 1758",57.034681,-135.314296,18,5,2011,148.2,11.6,10.7,0.4199,65.71125278
1880664016,"Ursus arctos Linnaeus, 1758",44.960024,-110.380022,7,6,2016,134.4,18.3,17.3,0.253424582,77.61382776
1880657608,"Ursus arctos Linnaeus, 1758",55.486904,-130.873103,1,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1880644981,"Ursus arctos Linnaeus, 1758",57.778871,-135.197573,3,7,2018,1.5,15.3,22.8,0.22358882,79.96438645
1880626209,"Ursus arctos horribilis Ord, 1815",48.697322,-113.59614,23,6,2018,51.5,17.2,17,0.045730981,95.52989211
1880626189,"Ursus arctos horribilis Ord, 1815",48.70084,-113.681478,28,6,2018,51.5,17.2,17,0.045730981,95.52989211
1880625285,"Ursus arctos horribilis Ord, 1815",48.812879,-113.470613,27,6,2018,51.5,17.2,17,0.045730981,95.52989211
1880618825,"Ursus arctos horribilis Ord, 1815",48.755167,-113.513486,24,6,2018,51.5,17.2,17,0.045730981,95.52989211
1880607730,"Ursus arctos horribilis Ord, 1815",48.930835,-113.696718,30,6,2018,51.5,17.2,17,0.045730981,95.52989211
1880584395,"Ursus arctos sitkensis Merriam, 1896",57.0342,-135.627214,23,6,2018,0.5,17.2,17,0.045730981,95.52989211
1880564997,"Ursus arctos horribilis Ord, 1815",63.198549,-151.020707,13,7,2010,74.2,15.4,19,0.1385,87.06632513
1880553451,"Ursus arctos horribilis Ord, 1815",44.537828,-110.259721,20,6,2018,51.5,17.2,17,0.045730981,95.52989211
1880475095,"Ursus arctos horribilis Ord, 1815",44.516948,-110.384736,4,6,2018,51.5,17.2,17,0.045730981,95.52989211
1880473863,"Ursus arctos Linnaeus, 1758",57.704414,-152.573456,9,6,2018,0.5,17.2,17,0.266521143,76.6039807
1880463294,"Ursus arctos Linnaeus, 1758",44.725546,-110.980925,6,5,2018,98.5,15.9,15.2,0.101532044,90.34522285
1850980057,"Ursus arctos Linnaeus, 1758",57.167606,-135.732527,7,6,2018,0.5,17.2,17,0.045730981,95.52989211
1850979325,"Ursus arctos Linnaeus, 1758",57.655107,-136.163657,2,6,2018,0.5,17.2,17,0.045730981,95.52989211
1850959778,"Ursus arctos Linnaeus, 1758",58.879752,-136.117513,25,5,2018,1.5,15.2,15.2,0.101532044,90.34522285
1850920676,"Ursus arctos horribilis Ord, 1815",63.446145,-150.18902,1,6,2018,0.5,17.2,17,0.045730981,95.52989211
1848805766,"Ursus arctos horribilis Ord, 1815",44.406466,-109.316036,10,5,2018,98.5,15.9,15.2,0.101532044,90.34522285
1847631297,"Ursus arctos horribilis Ord, 1815",63.164515,-151.170233,22,8,2016,170,14.9,11.4,0.065,93.70674634
1847630743,"Ursus arctos Linnaeus, 1758",48.868247,-113.880049,22,9,2013,32890.1,17.8,17.7,0.1954,82.250559
1847630742,"Ursus arctos horribilis Ord, 1815",48.207126,-113.168021,19,9,2013,32890.1,17.8,17.7,0.1954,82.250559
1847623685,"Ursus arctos horribilis Ord, 1815",44.880338,-111.100743,14,6,2014,6.4,16.2,23.7,0.3443,70.87162813
1847594196,"Ursus arctos horribilis Ord, 1815",44.645823,-110.472414,13,5,2018,98.5,15.9,15.2,0.101532044,90.34522285
1847587551,"Ursus arctos Linnaeus, 1758",59.334041,-135.557558,20,5,2018,1.5,15.2,15.2,0.101532044,90.34522285
1847587115,"Ursus arctos horribilis Ord, 1815",44.679635,-110.455406,2,8,2016,170,20.1,26.7,0.065,93.70674634
1847585024,"Ursus arctos horribilis Ord, 1815",43.903594,-110.547824,17,10,2017,108.3,7.2,6.7,0.037841622,96.28654258
1847532229,"Ursus arctos horribilis Ord, 1815",43.94797,-110.660565,13,5,2018,98.5,15.9,15.2,0.101532044,90.34522285
1847527451,"Ursus arctos Linnaeus, 1758",59.48101,-139.174118,13,5,2018,1.5,15.2,15.2,0.101532044,90.34522285
1847506514,"Ursus arctos Linnaeus, 1758",44.772115,-110.748086,1,5,2018,98.5,15.9,15.2,0.101532044,90.34522285
1847493114,"Ursus arctos horribilis Ord, 1815",43.878728,-110.524337,11,5,2018,98.5,15.9,15.2,0.101532044,90.34522285
1847492166,"Ursus arctos horribilis Ord, 1815",43.920555,-110.56291,10,5,2018,98.5,15.9,15.2,0.101532044,90.34522285
1847469431,"Ursus arctos Linnaeus, 1758",56.966129,-135.292511,9,11,2011,0,6.5,5.6,0.121,88.60339596
1841324645,"Ursus arctos Linnaeus, 1758",63.710745,-149.198696,30,6,2014,6.4,16.2,23.7,0.3443,70.87162813
1839240008,"Ursus arctos horribilis Ord, 1815",44.591838,-110.365776,10,6,2016,134.4,18.3,17.3,0.253424582,77.61382776
1839220691,"Ursus arctos horribilis Ord, 1815",43.789979,-110.680654,20,4,2018,21.6,7.6,6.2,0.142150011,86.74911136
1838353259,"Ursus arctos Linnaeus, 1758",59.631748,-153.97677,26,9,2013,32890.1,8.8,21,0.1954,82.250559
1838049059,"Ursus arctos horribilis Ord, 1815",63.501079,-150.327666,21,6,2016,59.2,15.4,4.9,0.037034659,96.36427362
1838017472,"Ursus arctos horribilis Ord, 1815",43.644316,-110.762161,11,10,2016,13.4,8.3,8.5,0.133251682,87.52447809
1831221318,"Ursus arctos horribilis Ord, 1815",48.115606,-112.762197,21,4,2017,100.8,8.4,8.3,0.490221333,61.24908149
1831198133,"Ursus arctos Linnaeus, 1758",57.072376,-135.292339,30,10,2008,5.7,9.2,-0.7,0.3442,70.87871564
1831176127,"Ursus arctos horribilis Ord, 1815",44.569521,-110.447611,15,5,2017,78.2,14,14.3,0.065603638,93.65019846
1831175993,"Ursus arctos horribilis Ord, 1815",44.516668,-110.441946,13,5,2017,78.2,14,14.3,0.065603638,93.65019846
1831162528,"Ursus arctos Linnaeus, 1758",57.150419,-135.569272,19,4,2008,773,-1.5,9.2,0.219,80.33217182
1831124596,"Ursus arctos Linnaeus, 1758",63.443618,-150.737314,14,9,2016,0,12,8.6,0.935,39.25858655
1807308333,"Ursus arctos horribilis Ord, 1815",48.78921,-113.774751,14,9,2016,117.8,13.8,13.8,0.935,39.25858655
1807283700,"Ursus arctos Linnaeus, 1758",57.150419,-135.569272,19,4,2008,773,-1.5,9.2,0.219,80.33217182
1807282928,"Ursus arctos Linnaeus, 1758",57.131023,-135.568027,8,11,2007,5216.1,-4,7.4,0.0623,93.96009642
1806374196,"Ursus arctos Linnaeus, 1758",57.150419,-135.569272,19,4,2008,773,-1.5,9.2,0.219,80.33217182
1806357359,"Ursus arctos Linnaeus, 1758",57.13263,-135.566483,30,8,2007,240.6,16.5,26.3,0.1097,89.61029259
1806356472,"Ursus arctos Linnaeus, 1758",57.064864,-135.605235,18,8,2007,240.6,16.5,26.3,0.1097,89.61029259
